Rank,Player,Team,Position,Points,Games,Avg,Teams
2,Justin Herbert,LAC,QB,395.6,17,23.3,LAC
3,Tom Brady,TB,QB,386.7,17,22.8,"NE, TB"
4,Patrick Mahomes II,KC,QB,374.2,17,22,KC
5,Matthew Stafford,LAR,QB,346.8,17,20.4,"DET, LAR"
6,Aaron Rodgers,GB,QB,336.3,16,21,GB
7,Jonathan Taylor,IND,RB,333.1,17,19.6,IND
8,Dak Prescott,DAL,QB,330.4,16,20.7,DAL
9,Joe Burrow,CIN,QB,328.1,16,20.5,CIN
10,Jalen Hurts,PHI,QB,321.2,15,21.4,PHI
11,Kyler Murray,ARI,QB,310.5,14,22.2,ARI
2,Justin Herbert,LAC,QB,395.6,17,23.3,LAC
3,Tom Brady,TB,QB,386.7,17,22.8,"NE, TB"
4,Patrick Mahomes II,KC,QB,374.2,17,22,KC
5,Matthew Stafford,LAR,QB,346.8,17,20.4,"DET, LAR"
6,Aaron Rodgers,GB,QB,336.3,16,21,GB
7,Jonathan Taylor,IND,RB,333.1,17,19.6,IND
8,Dak Prescott,DAL,QB,330.4,16,20.7,DAL
9,Joe Burrow,CIN,QB,328.1,16,20.5,CIN
10,Jalen Hurts,PHI,QB,321.2,15,21.4,PHI
11,Kyler Murray,ARI,QB,310.5,14,22.2,ARI
13,Cooper Kupp,LAR,WR,294.5,17,17.3,LAR
14,Ryan Tannehill,TEN,QB,282.3,17,16.6,"MIA, TEN"
15,Austin Ekeler,LAC,RB,273.8,16,17.1,LAC
17,Carson Wentz,IND,QB,264.9,17,15.6,"PHI, IND"
18,Deebo Samuel,SF,WR,262,16,16.4,SF
19,Lamar Jackson,BAL,QB,253,12,21.1,BAL
20,Russell Wilson,SEA,QB,248.7,14,17.8,SEA
21,Joe Mixon,CIN,RB,245.9,16,15.4,CIN
22,Jimmy Garoppolo,SF,QB,239.5,15,16,"NE, SF"
23,Mac Jones,NE,QB,238,17,14,NE
24,Taylor Heinicke,WAS,QB,236.7,16,14.8,"MIN, HOU, CAR, WAS"
25,Matt Ryan,ATL,QB,234.8,17,13.8,ATL
26,Ben Roethlisberger,PIT,QB,228,16,14.3,PIT
29,Justin Jefferson,MIN,WR,222.4,17,13.1,MIN
30,Davante Adams,GB,WR,221.3,16,13.8,GB
31,James Conner,ARI,RB,220.7,15,14.7,"PIT, ARI"
32,Trevor Lawrence,JAC,QB,216,17,12.7,JAC
33,Teddy Bridgewater,DEN,QB,209.8,14,15,"MIN, NO, CAR, DEN"
34,Ezekiel Elliott,DAL,RB,205.1,17,12.1,DAL
35,Jared Goff,DET,QB,202.4,14,14.5,"LAR, DET"
36,Nick Chubb,CLE,RB,195.3,14,14,CLE
37,Mark Andrews,BAL,TE,194.1,17,11.4,BAL
38,Baker Mayfield,CLE,QB,193.8,14,13.8,CLE
39,Damien Harris,NE,RB,192.1,15,12.8,NE
40,Tua Tagovailoa,MIA,QB,190.9,13,14.7,MIA
41,Mike Evans,TB,WR,188.5,16,11.8,TB
42,Alvin Kamara,NO,RB,187.7,13,14.4,NO
43,Antonio Gibson,WAS,RB,187.1,16,11.7,NO
44,Leonard Fournette,TB,RB,186.6,14,13.3,"JAC, TB"
45,Tyreek Hill,KC,WR,185.5,17,10.9,KC
48,Stefon Diggs,BUF,WR,182.5,17,10.7,"MIN, BUF"
49,Aaron Jones,GB,RB,177,15,11.8,GB
50,Derrick Henry,TEN,RB,175.3,8,21.9,TEN
53,Dalvin Cook,MIN,RB,172.3,13,13.3,MIN
56,Travis Kelce,KC,TE,170.8,16,10.7,KC
57,Mike Williams,LAC,WR,170.6,16,10.7,LAC
60,Tyler Lockett,SEA,WR,168.4,16,10.5,SEA
61,Diontae Johnson,PIT,WR,167.4,16,10.5,PIT
63,Davis Mills,HOU,QB,167,13,12.9,HOU
65,Chris Boswell,PIT,K,162,17,9.5,PIT
65,Justin Tucker,BAL,K,162,17,9.5,BAL
67,Javonte Williams,DEN,RB,161.9,17,9.5,DEN
69,Matt Gay,LAR,K,159,17,9.4,"TB, LAR"
